[2026-03-22 09:08:57] bot started | dry_run=True
[2026-03-22 09:14:36] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=24.159675 up=0.525 down=0.475
[2026-03-22 09:14:36] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:36] EVENT INTERRUPT: OFI=0.83 Vol=$3006387 -> forcing fast poll
[2026-03-22 09:14:39] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=21.153983 up=0.525 down=0.475
[2026-03-22 09:14:39] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:39] EVENT INTERRUPT: OFI=0.83 Vol=$2744491 -> forcing fast poll
[2026-03-22 09:14:42] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=18.161693 up=0.525 down=0.475
[2026-03-22 09:14:42] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:42] EVENT INTERRUPT: OFI=0.83 Vol=$2727886 -> forcing fast poll
[2026-03-22 09:14:45] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=15.141792 up=0.525 down=0.475
[2026-03-22 09:14:45] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:45] EVENT INTERRUPT: OFI=0.86 Vol=$2579536 -> forcing fast poll
[2026-03-22 09:14:48] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=12.144862 up=0.525 down=0.475
[2026-03-22 09:14:48] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:48] EVENT INTERRUPT: OFI=0.86 Vol=$2521036 -> forcing fast poll
[2026-03-22 09:14:51] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=9.150286 up=0.525 down=0.475
[2026-03-22 09:14:51] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:51] EVENT INTERRUPT: OFI=0.87 Vol=$2484861 -> forcing fast poll
[2026-03-22 09:14:54] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=6.15435 up=0.525 down=0.475
[2026-03-22 09:14:54] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:54] EVENT INTERRUPT: OFI=0.90 Vol=$2305387 -> forcing fast poll
Binance WS Error: Connection to remote host was lost.
Binance WS Closed.
WS disconnected unexpectedly, retrying in 3s...
[2026-03-22 09:14:57] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=3.147645 up=0.525 down=0.475
[2026-03-22 09:14:57] no signal | equity=100.00 cash=100.00
[2026-03-22 09:14:57] EVENT INTERRUPT: OFI=0.90 Vol=$2258196 -> forcing fast poll
[2026-03-22 09:15:00] no entry | slug=btc-updown-5m-1774141800 reason=too_late_in_market secs_left=0.15607 up=0.525 down=0.475
[2026-03-22 09:15:00] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:00] EVENT INTERRUPT: OFI=0.93 Vol=$2169671 -> forcing fast poll
[2026-03-22 09:15:02] market switched => btc-updown-5m-1774142100
[2026-03-22 09:15:03] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=297.152325 up=0.525 down=0.475
[2026-03-22 09:15:03] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:03] EVENT INTERRUPT: OFI=0.78 Vol=$2605007 -> forcing fast poll
[2026-03-22 09:15:06] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=294.148298 up=0.525 down=0.475
[2026-03-22 09:15:06] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:06] EVENT INTERRUPT: OFI=0.76 Vol=$2685342 -> forcing fast poll
[2026-03-22 09:15:09] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=291.148549 up=0.525 down=0.475
[2026-03-22 09:15:09] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:13] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=287.267865 up=0.525 down=0.475
[2026-03-22 09:15:13] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:17] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=283.375348 up=0.525 down=0.475
[2026-03-22 09:15:17] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:21] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=279.495563 up=0.525 down=0.475
[2026-03-22 09:15:21] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:25] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=275.618772 up=0.525 down=0.475
[2026-03-22 09:15:25] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:29] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=271.638378 up=0.525 down=0.475
[2026-03-22 09:15:29] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:32] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=267.717835 up=0.525 down=0.475
[2026-03-22 09:15:32] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:36] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=263.834031 up=0.525 down=0.475
[2026-03-22 09:15:36] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:40] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=259.950513 up=0.525 down=0.475
[2026-03-22 09:15:40] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:44] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=256.058126 up=0.525 down=0.475
[2026-03-22 09:15:44] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:48] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=252.179998 up=0.525 down=0.475
[2026-03-22 09:15:48] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:52] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=248.297649 up=0.525 down=0.475
[2026-03-22 09:15:52] no signal | equity=100.00 cash=100.00
[2026-03-22 09:15:56] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=244.312965 up=0.525 down=0.475
[2026-03-22 09:15:56] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:00] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=240.408478 up=0.525 down=0.475
[2026-03-22 09:16:00] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:04] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=236.52547 up=0.525 down=0.475
[2026-03-22 09:16:04] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:07] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=232.655827 up=0.525 down=0.475
[2026-03-22 09:16:07] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:11] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=228.774253 up=0.525 down=0.475
[2026-03-22 09:16:11] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:15] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=224.892612 up=0.525 down=0.475
[2026-03-22 09:16:15] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:19] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=221.022921 up=0.525 down=0.475
[2026-03-22 09:16:19] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:23] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=217.129464 up=0.525 down=0.475
[2026-03-22 09:16:23] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:27] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=213.23907 up=0.525 down=0.475
[2026-03-22 09:16:27] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:31] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=209.337681 up=0.525 down=0.475
[2026-03-22 09:16:31] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:35] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=205.445902 up=0.525 down=0.475
[2026-03-22 09:16:35] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:39] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=201.554528 up=0.525 down=0.475
[2026-03-22 09:16:39] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:43] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=197.668697 up=0.525 down=0.475
[2026-03-22 09:16:43] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:46] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=193.655804 up=0.525 down=0.475
[2026-03-22 09:16:46] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:50] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=189.758028 up=0.525 down=0.475
[2026-03-22 09:16:50] no signal | equity=100.00 cash=100.00
[2026-03-22 09:16:54] no entry | slug=btc-updown-5m-1774142100 reason=too_early_in_market secs_left=185.872165 up=0.525 down=0.475
